tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
653534,SGT,ds_attribute,975806368,10,21,8b3289c9-a740-4091-a56d-e4d55af526b5,975806368,975806369,10,1935,4,attribute
653534,SGT,ds_attribute,1138188726,6,32,8b3289c9-a740-4091-a56d-e4d55af526b5,1138188726,1138188727,6,2166,13,attribute
653534,SGT,ds_attribute,1365673688,8,28,8b3289c9-a740-4091-a56d-e4d55af526b5,1365673688,1365673689,8,4108,10,attribute
653534,SGT,ds_attribute,837369796,8,41,8b3289c9-a740-4091-a56d-e4d55af526b5,837369796,837369797,8,1834,6,attribute
653534,SGT,ds_attribute,1358938935,10,43,8b3289c9-a740-4091-a56d-e4d55af526b5,1358938935,1358938936,10,1587,5,attribute
653534,SGT,ds_attribute,893492730,8,34,8b3289c9-a740-4091-a56d-e4d55af526b5,893492730,893492731,8,2625,8,attribute
653534,SGT,ds_attribute,893492730,10,42,8b3289c9-a740-4091-a56d-e4d55af526b5,893492730,893492731,10,2525,8,attribute
653534,SGT,ds_attribute,1092542072,8,46,8b3289c9-a740-4091-a56d-e4d55af526b5,1092542072,1092542073,8,2663,8,attribute
653534,SGT,ds_attribute,1063358146,9,44,8b3289c9-a740-4091-a56d-e4d55af526b5,1063358146,1063358147,9,1916,4,attribute
653534,SGT,ds_attribute,826893515,9,53,8b3289c9-a740-4091-a56d-e4d55af526b5,826893515,826893516,9,2681,10,attribute
653534,SGT,ds_attribute,891247813,9,27,8b3289c9-a740-4091-a56d-e4d55af526b5,891247813,891247814,9,2188,9,attribute
653534,SGT,ds_attribute,1213019305,7,37,8b3289c9-a740-4091-a56d-e4d55af526b5,1213019305,1213019306,7,2602,7,attribute
653534,SGT,ds_attribute,1170365875,7,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1170365875,1170365876,7,1696,4,attribute
653534,SGT,ds_attribute,1153154842,10,27,8b3289c9-a740-4091-a56d-e4d55af526b5,1153154842,1153154843,10,1926,5,attribute
653534,SGT,ds_attribute,824648597,7,28,8b3289c9-a740-4091-a56d-e4d55af526b5,824648597,824648598,7,1822,6,attribute
653534,SGT,ds_attribute,1269890546,11,101,8b3289c9-a740-4091-a56d-e4d55af526b5,1269890546,1269890547,11,1905,5,attribute
653534,SGT,ds_attribute,1183087073,9,29,8b3289c9-a740-4091-a56d-e4d55af526b5,1183087073,1183087074,9,2248,6,attribute
653534,SGT,ds_attribute,1362680464,7,128,8b3289c9-a740-4091-a56d-e4d55af526b5,1362680464,1362680465,7,2664,6,attribute
653534,SGT,ds_attribute,1180093850,6,25,8b3289c9-a740-4091-a56d-e4d55af526b5,1180093850,1180093851,6,1614,4,attribute
653534,SGT,ds_attribute,1374653357,9,42,8b3289c9-a740-4091-a56d-e4d55af526b5,1374653357,1374653358,9,2532,8,attribute
653534,SGT,ds_attribute,1037167443,11,24,8b3289c9-a740-4091-a56d-e4d55af526b5,1037167443,1037167444,11,1856,5,attribute
653534,SGT,ds_attribute,1323020257,10,25,8b3289c9-a740-4091-a56d-e4d55af526b5,1323020257,1323020258,10,1618,5,attribute
653534,SGT,ds_attribute,751314629,9,23,8b3289c9-a740-4091-a56d-e4d55af526b5,751314629,751314630,9,2021,4,attribute
653534,SGT,ds_attribute,739341736,7,32,8b3289c9-a740-4091-a56d-e4d55af526b5,739341736,739341737,7,2128,5,attribute
653534,SGT,ds_attribute,1229482033,7,43,8b3289c9-a740-4091-a56d-e4d55af526b5,1229482033,1229482034,7,2270,9,attribute
653534,SGT,ds_attribute,780498555,7,32,8b3289c9-a740-4091-a56d-e4d55af526b5,780498555,780498556,7,2438,10,attribute
653534,SGT,ds_attribute,731110373,8,22,8b3289c9-a740-4091-a56d-e4d55af526b5,731110373,731110374,8,1692,5,attribute
653534,SGT,ds_attribute,1331251621,10,38,8b3289c9-a740-4091-a56d-e4d55af526b5,1331251621,1331251622,10,2085,6,attribute
653534,SGT,ds_attribute,761042604,6,24,8b3289c9-a740-4091-a56d-e4d55af526b5,761042604,761042605,6,1998,5,attribute
653534,SGT,ds_attribute,817913845,7,30,8b3289c9-a740-4091-a56d-e4d55af526b5,817913845,817913846,7,1832,5,attribute
653534,SGT,ds_attribute,877030003,8,27,8b3289c9-a740-4091-a56d-e4d55af526b5,877030003,877030004,8,1938,4,attribute
653534,SGT,ds_attribute,1147168395,8,57,8b3289c9-a740-4091-a56d-e4d55af526b5,1147168395,1147168396,8,2678,8,attribute
653534,SGT,ds_attribute,827641820,7,25,8b3289c9-a740-4091-a56d-e4d55af526b5,827641820,827641821,7,1690,4,attribute
653534,SGT,ds_attribute,1363428770,8,24,8b3289c9-a740-4091-a56d-e4d55af526b5,1363428770,1363428771,8,1745,3,attribute
653534,SGT,ds_attribute,912948681,10,34,8b3289c9-a740-4091-a56d-e4d55af526b5,912948681,912948682,10,2802,12,attribute
653534,SGT,ds_attribute,990024178,7,36,8b3289c9-a740-4091-a56d-e4d55af526b5,990024178,990024179,7,2467,9,attribute
653534,SGT,ds_attribute,985534343,9,23,8b3289c9-a740-4091-a56d-e4d55af526b5,985534343,985534344,9,2115,6,attribute
653534,SGT,ds_attribute,965330087,9,20,8b3289c9-a740-4091-a56d-e4d55af526b5,965330087,965330088,9,1629,4,attribute
653534,SGT,ds_attribute,924921574,9,31,8b3289c9-a740-4091-a56d-e4d55af526b5,924921574,924921575,9,2450,7,attribute
653534,SGT,ds_attribute,1321523646,10,60,8b3289c9-a740-4091-a56d-e4d55af526b5,1321523646,1321523647,10,100361,1685,attribute
0,SGT,ds_neighbor,11270,1,95987,8b3289c9-a740-4091-a56d-e4d55af526b5,1321523646,1321523647,11270,0,389,neighbor
653534,SGT,ds_window,-1305029698,2753780939,164839,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,310127,window
653534,SGT,ds_attribute,1219005752,8,117,8b3289c9-a740-4091-a56d-e4d55af526b5,1219005752,1219005753,8,2523,7,attribute
653534,SGT,ds_window,-1305029698,2753780939,154281,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,301884,window
653534,SGT,ds_attribute,1307305836,9,34,8b3289c9-a740-4091-a56d-e4d55af526b5,1307305836,1307305837,9,2288,6,attribute
653534,SGT,ds_attribute,1078324262,10,44,8b3289c9-a740-4091-a56d-e4d55af526b5,1078324262,1078324263,10,2335,7,attribute
653534,SGT,ds_attribute,1284108356,11,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1284108356,1284108357,11,1672,4,attribute
653534,SGT,ds_attribute,1217509140,10,33,8b3289c9-a740-4091-a56d-e4d55af526b5,1217509140,1217509141,10,2335,6,attribute
653534,SGT,ds_attribute,820907068,7,38,8b3289c9-a740-4091-a56d-e4d55af526b5,820907068,820907069,7,2401,7,attribute
653534,SGT,ds_attribute,904717317,11,28,8b3289c9-a740-4091-a56d-e4d55af526b5,904717317,904717318,11,2180,5,attribute
653534,SGT,ds_attribute,1275128686,10,41,8b3289c9-a740-4091-a56d-e4d55af526b5,1275128686,1275128687,10,2419,8,attribute
653534,SGT,ds_attribute,1092542072,9,40,8b3289c9-a740-4091-a56d-e4d55af526b5,1092542072,1092542073,9,2524,8,attribute
653534,SGT,ds_attribute,1094786989,8,27,8b3289c9-a740-4091-a56d-e4d55af526b5,1094786989,1094786990,8,1887,5,attribute
653534,SGT,ds_attribute,1257917653,7,46,8b3289c9-a740-4091-a56d-e4d55af526b5,1257917653,1257917654,7,2246,6,attribute
653534,SGT,ds_attribute,1311795670,9,43,8b3289c9-a740-4091-a56d-e4d55af526b5,1311795670,1311795671,9,2840,9,attribute
653534,SGT,ds_attribute,1021453021,10,24,8b3289c9-a740-4091-a56d-e4d55af526b5,1021453021,1021453022,10,2189,5,attribute
653534,SGT,ds_attribute,1314040588,8,28,8b3289c9-a740-4091-a56d-e4d55af526b5,1314040588,1314040589,8,1996,5,attribute
653534,SGT,ds_attribute,814172316,9,28,8b3289c9-a740-4091-a56d-e4d55af526b5,814172316,814172317,9,1830,5,attribute
653534,SGT,ds_attribute,1107508188,7,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1107508188,1107508189,7,2098,6,attribute
653534,SGT,ds_attribute,884513061,10,30,8b3289c9-a740-4091-a56d-e4d55af526b5,884513061,884513062,10,2148,6,attribute
653534,SGT,ds_attribute,1171114181,10,39,8b3289c9-a740-4091-a56d-e4d55af526b5,1171114181,1171114182,10,2317,10,attribute
653534,SGT,ds_attribute,1307305836,8,26,8b3289c9-a740-4091-a56d-e4d55af526b5,1307305836,1307305837,8,1889,5,attribute
653534,SGT,ds_attribute,1378394886,6,65,8b3289c9-a740-4091-a56d-e4d55af526b5,1378394886,1378394887,6,3192,10,attribute
653534,SGT,ds_attribute,1103018353,7,32,8b3289c9-a740-4091-a56d-e4d55af526b5,1103018353,1103018354,7,2304,10,attribute
653534,SGT,ds_attribute,989275872,9,25,8b3289c9-a740-4091-a56d-e4d55af526b5,989275872,989275873,9,2176,6,attribute
653534,SGT,ds_attribute,1095535295,8,37,8b3289c9-a740-4091-a56d-e4d55af526b5,1095535295,1095535296,8,1746,5,attribute
653534,SGT,ds_attribute,911452069,8,24,8b3289c9-a740-4091-a56d-e4d55af526b5,911452069,911452070,8,1654,4,attribute
653534,SGT,ds_attribute,1269890546,8,32,8b3289c9-a740-4091-a56d-e4d55af526b5,1269890546,1269890547,8,2488,7,attribute
653534,SGT,ds_attribute,806689258,8,49,8b3289c9-a740-4091-a56d-e4d55af526b5,806689258,806689259,8,2354,8,attribute
653534,SGT,ds_attribute,894989342,8,38,8b3289c9-a740-4091-a56d-e4d55af526b5,894989342,894989343,8,2440,8,attribute
653534,SGT,ds_attribute,845601159,8,31,8b3289c9-a740-4091-a56d-e4d55af526b5,845601159,845601160,8,2273,6,attribute
653534,SGT,ds_attribute,1080569179,8,34,8b3289c9-a740-4091-a56d-e4d55af526b5,1080569179,1080569180,8,2048,6,attribute
653534,SGT,ds_attribute,1034922526,8,22,8b3289c9-a740-4091-a56d-e4d55af526b5,1034922526,1034922527,8,1950,4,attribute
653534,SGT,ds_attribute,981044508,7,33,8b3289c9-a740-4091-a56d-e4d55af526b5,981044508,981044509,7,2191,6,attribute
653534,SGT,ds_attribute,745328183,7,34,8b3289c9-a740-4091-a56d-e4d55af526b5,745328183,745328184,7,2416,10,attribute
653534,SGT,ds_attribute,747573100,7,25,8b3289c9-a740-4091-a56d-e4d55af526b5,747573100,747573101,7,1775,5,attribute
653534,SGT,ds_attribute,1230978644,9,42,8b3289c9-a740-4091-a56d-e4d55af526b5,1230978644,1230978645,9,2627,7,attribute
653534,SGT,ds_attribute,1147168395,8,37,8b3289c9-a740-4091-a56d-e4d55af526b5,1147168395,1147168396,8,1780,4,attribute
653534,SGT,ds_attribute,880771532,6,26,8b3289c9-a740-4091-a56d-e4d55af526b5,880771532,880771533,6,1835,4,attribute
653534,SGT,ds_attribute,1217509140,7,35,8b3289c9-a740-4091-a56d-e4d55af526b5,1217509140,1217509141,7,2373,6,attribute
653534,SGT,ds_attribute,1171114181,8,32,8b3289c9-a740-4091-a56d-e4d55af526b5,1171114181,1171114182,8,2169,8,attribute
653534,SGT,ds_attribute,1134447197,8,36,8b3289c9-a740-4091-a56d-e4d55af526b5,1134447197,1134447198,8,2158,6,attribute
653534,SGT,ds_attribute,775260415,8,22,8b3289c9-a740-4091-a56d-e4d55af526b5,775260415,775260416,8,2037,7,attribute
653534,SGT,ds_attribute,1273632075,8,30,8b3289c9-a740-4091-a56d-e4d55af526b5,1273632075,1273632076,8,1823,6,attribute
653534,SGT,ds_attribute,814920622,9,41,8b3289c9-a740-4091-a56d-e4d55af526b5,814920622,814920623,9,2738,8,attribute
653534,SGT,ds_attribute,972064839,8,41,8b3289c9-a740-4091-a56d-e4d55af526b5,972064839,972064840,8,2000,4,attribute
653534,SGT,ds_attribute,1117236163,8,29,8b3289c9-a740-4091-a56d-e4d55af526b5,1117236163,1117236164,8,2040,9,attribute
