tree build time (micros),ds type,ds query type,ds query begin,ds query end,ds query time (micros),dataset id,begin,end,bins,API Fetch Time(micros),Post Processing Time(micros),query
578548,KDT,ds_attribute,1022201327,8,6611,8b3289c9-a740-4091-a56d-e4d55af526b5,1022201327,1022201328,8,8386,7,attribute
578548,KDT,ds_attribute,1042405584,7,6619,8b3289c9-a740-4091-a56d-e4d55af526b5,1042405584,1042405585,7,8336,10,attribute
578548,KDT,ds_attribute,1196556578,10,426,8b3289c9-a740-4091-a56d-e4d55af526b5,1196556578,1196556579,10,2317,6,attribute
578548,KDT,ds_attribute,1373156746,8,502,8b3289c9-a740-4091-a56d-e4d55af526b5,1373156746,1373156747,8,2743,6,attribute
578548,KDT,ds_attribute,1043902195,7,6629,8b3289c9-a740-4091-a56d-e4d55af526b5,1043902195,1043902196,7,8424,7,attribute
578548,KDT,ds_attribute,1282611744,7,101,8b3289c9-a740-4091-a56d-e4d55af526b5,1282611744,1282611745,7,8802,828,attribute
0,KDT,ds_neighbor,8863,1,6563,8b3289c9-a740-4091-a56d-e4d55af526b5,1282611744,1282611745,8863,0,210,neighbor
578548,KDT,ds_window,-1305029698,2753780939,7155,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,9,142676,window
578548,KDT,ds_attribute,735600207,7,4181,8b3289c9-a740-4091-a56d-e4d55af526b5,735600207,735600208,7,6298,10,attribute
578548,KDT,ds_window,-1305029698,2753780939,7469,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,8,152708,window
578548,KDT,ds_attribute,1373905051,9,126,8b3289c9-a740-4091-a56d-e4d55af526b5,1373905051,1373905052,9,9376,952,attribute
0,KDT,ds_neighbor,5985,3,6746,8b3289c9-a740-4091-a56d-e4d55af526b5,1373905051,1373905052,5985,0,241,neighbor
578548,KDT,ds_window,-1305029698,2753780939,7126,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,9,150427,window
578548,KDT,ds_attribute,1349959266,10,414,8b3289c9-a740-4091-a56d-e4d55af526b5,1349959266,1349959267,10,2653,6,attribute
578548,KDT,ds_window,-1305029698,2753780939,7866,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,11,144882,window
578548,KDT,ds_attribute,1309550753,10,273,8b3289c9-a740-4091-a56d-e4d55af526b5,1309550753,1309550754,10,2379,9,attribute
578548,KDT,ds_attribute,1030432691,7,6508,8b3289c9-a740-4091-a56d-e4d55af526b5,1030432691,1030432692,7,8676,5,attribute
578548,KDT,ds_attribute,1373156746,10,544,8b3289c9-a740-4091-a56d-e4d55af526b5,1373156746,1373156747,10,2285,6,attribute
578548,KDT,ds_attribute,860567275,10,1413,8b3289c9-a740-4091-a56d-e4d55af526b5,860567275,860567276,10,3536,10,attribute
578548,KDT,ds_attribute,808934175,8,335,8b3289c9-a740-4091-a56d-e4d55af526b5,808934175,808934176,8,1857,5,attribute
578548,KDT,ds_attribute,1114242940,8,353,8b3289c9-a740-4091-a56d-e4d55af526b5,1114242940,1114242941,8,2410,8,attribute
578548,KDT,ds_attribute,1020704716,9,6534,8b3289c9-a740-4091-a56d-e4d55af526b5,1020704716,1020704717,9,8513,9,attribute
578548,KDT,ds_attribute,1156896371,8,144,8b3289c9-a740-4091-a56d-e4d55af526b5,1156896371,1156896372,8,2001,5,attribute
578548,KDT,ds_attribute,1174855710,9,211,8b3289c9-a740-4091-a56d-e4d55af526b5,1174855710,1174855711,9,9396,822,attribute
0,KDT,ds_neighbor,5641,7,6234,8b3289c9-a740-4091-a56d-e4d55af526b5,1174855710,1174855711,5641,0,200,neighbor
578548,KDT,ds_window,-1305029698,2753780939,9360,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,14,160475,window
578548,KDT,ds_attribute,1127712444,8,325,8b3289c9-a740-4091-a56d-e4d55af526b5,1127712444,1127712445,8,2269,5,attribute
578548,KDT,ds_window,-1305029698,2753780939,7429,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,153267,window
578548,KDT,ds_attribute,1400844060,9,226,8b3289c9-a740-4091-a56d-e4d55af526b5,1400844060,1400844061,9,2715,8,attribute
578548,KDT,ds_attribute,1247441372,8,624,8b3289c9-a740-4091-a56d-e4d55af526b5,1247441372,1247441373,8,2455,6,attribute
578548,KDT,ds_attribute,1148665007,8,131,8b3289c9-a740-4091-a56d-e4d55af526b5,1148665007,1148665008,8,9238,940,attribute
0,KDT,ds_neighbor,7482,22,6295,8b3289c9-a740-4091-a56d-e4d55af526b5,1148665007,1148665008,7482,0,176,neighbor
578548,KDT,ds_window,-1305029698,2753780939,6836,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,7,142511,window
578548,KDT,ds_attribute,1286353273,10,290,8b3289c9-a740-4091-a56d-e4d55af526b5,1286353273,1286353274,10,2510,7,attribute
578548,KDT,ds_window,-1305029698,2753780939,6825,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,11,143115,window
578548,KDT,ds_attribute,1344721125,11,230,8b3289c9-a740-4091-a56d-e4d55af526b5,1344721125,1344721126,11,2877,10,attribute
578548,KDT,ds_attribute,982541120,11,3833,8b3289c9-a740-4091-a56d-e4d55af526b5,982541120,982541121,11,5696,8,attribute
578548,KDT,ds_attribute,1361183853,10,267,8b3289c9-a740-4091-a56d-e4d55af526b5,1361183853,1361183854,10,1975,4,attribute
578548,KDT,ds_attribute,824648597,9,6891,8b3289c9-a740-4091-a56d-e4d55af526b5,824648597,824648598,9,8538,6,attribute
578548,KDT,ds_attribute,1193563355,6,137,8b3289c9-a740-4091-a56d-e4d55af526b5,1193563355,1193563356,6,8915,1019,attribute
0,KDT,ds_neighbor,6283,0,6331,8b3289c9-a740-4091-a56d-e4d55af526b5,1193563355,1193563356,6283,0,229,neighbor
578548,KDT,ds_window,-1305029698,2753780939,6958,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,8,141213,window
578548,KDT,ds_attribute,1226488810,9,296,8b3289c9-a740-4091-a56d-e4d55af526b5,1226488810,1226488811,9,2453,11,attribute
578548,KDT,ds_window,-1305029698,2753780939,6943,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,8,149583,window
578548,KDT,ds_attribute,1217509140,7,270,8b3289c9-a740-4091-a56d-e4d55af526b5,1217509140,1217509141,7,1815,5,attribute
578548,KDT,ds_attribute,1331999927,9,395,8b3289c9-a740-4091-a56d-e4d55af526b5,1331999927,1331999928,9,2512,5,attribute
578548,KDT,ds_attribute,1296829554,8,134,8b3289c9-a740-4091-a56d-e4d55af526b5,1296829554,1296829555,8,9546,871,attribute
0,KDT,ds_neighbor,7669,0,6908,8b3289c9-a740-4091-a56d-e4d55af526b5,1296829554,1296829555,7669,0,114,neighbor
578548,KDT,ds_window,-1305029698,2753780939,7755,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,8,155606,window
578548,KDT,ds_attribute,982541120,8,6399,8b3289c9-a740-4091-a56d-e4d55af526b5,982541120,982541121,8,8398,6,attribute
578548,KDT,ds_window,-1305029698,2753780939,8333,8b3289c9-a740-4091-a56d-e4d55af526b5,-1305029698,2753780939,5424,13,147212,window
578548,KDT,ds_attribute,870295251,9,6616,8b3289c9-a740-4091-a56d-e4d55af526b5,870295251,870295252,9,8378,7,attribute
578548,KDT,ds_attribute,805940952,7,5352,8b3289c9-a740-4091-a56d-e4d55af526b5,805940952,805940953,7,6940,8,attribute
578548,KDT,ds_attribute,837369796,11,836,8b3289c9-a740-4091-a56d-e4d55af526b5,837369796,837369797,11,2571,7,attribute
578548,KDT,ds_attribute,1370163522,7,299,8b3289c9-a740-4091-a56d-e4d55af526b5,1370163522,1370163523,7,2019,6,attribute
578548,KDT,ds_attribute,1397102531,11,143,8b3289c9-a740-4091-a56d-e4d55af526b5,1397102531,1397102532,11,1913,4,attribute
578548,KDT,ds_attribute,748321406,8,4122,8b3289c9-a740-4091-a56d-e4d55af526b5,748321406,748321407,8,6202,6,attribute
578548,KDT,ds_attribute,1032677608,8,169,8b3289c9-a740-4091-a56d-e4d55af526b5,1032677608,1032677609,8,1751,4,attribute
578548,KDT,ds_attribute,1016214881,9,6451,8b3289c9-a740-4091-a56d-e4d55af526b5,1016214881,1016214882,9,8274,10,attribute
578548,KDT,ds_attribute,1224992198,10,334,8b3289c9-a740-4091-a56d-e4d55af526b5,1224992198,1224992199,10,2264,7,attribute
578548,KDT,ds_attribute,796961283,9,6388,8b3289c9-a740-4091-a56d-e4d55af526b5,796961283,796961284,9,8045,9,attribute
578548,KDT,ds_attribute,800702812,6,400,8b3289c9-a740-4091-a56d-e4d55af526b5,800702812,800702813,6,1967,4,attribute
578548,KDT,ds_attribute,1284856662,10,187,8b3289c9-a740-4091-a56d-e4d55af526b5,1284856662,1284856663,10,1871,5,attribute
578548,KDT,ds_attribute,1332748233,8,183,8b3289c9-a740-4091-a56d-e4d55af526b5,1332748233,1332748234,8,1696,5,attribute
578548,KDT,ds_attribute,987030955,10,7131,8b3289c9-a740-4091-a56d-e4d55af526b5,987030955,987030956,10,9031,8,attribute
578548,KDT,ds_attribute,966078393,7,6750,8b3289c9-a740-4091-a56d-e4d55af526b5,966078393,966078394,7,8936,8,attribute
578548,KDT,ds_attribute,1253427818,7,390,8b3289c9-a740-4091-a56d-e4d55af526b5,1253427818,1253427819,7,1859,4,attribute
578548,KDT,ds_attribute,771518886,10,4668,8b3289c9-a740-4091-a56d-e4d55af526b5,771518886,771518887,10,6405,11,attribute
578548,KDT,ds_attribute,1259414265,7,316,8b3289c9-a740-4091-a56d-e4d55af526b5,1259414265,1259414266,7,2313,5,attribute
578548,KDT,ds_attribute,1332748233,8,204,8b3289c9-a740-4091-a56d-e4d55af526b5,1332748233,1332748234,8,1789,5,attribute
578548,KDT,ds_attribute,1257169347,6,478,8b3289c9-a740-4091-a56d-e4d55af526b5,1257169347,1257169348,6,4508,8,attribute
578548,KDT,ds_attribute,947370748,11,2833,8b3289c9-a740-4091-a56d-e4d55af526b5,947370748,947370749,11,4834,6,attribute
578548,KDT,ds_attribute,992269095,8,6605,8b3289c9-a740-4091-a56d-e4d55af526b5,992269095,992269096,8,8471,8,attribute
578548,KDT,ds_attribute,1373156746,10,569,8b3289c9-a740-4091-a56d-e4d55af526b5,1373156746,1373156747,10,2364,6,attribute
578548,KDT,ds_attribute,1250434595,11,224,8b3289c9-a740-4091-a56d-e4d55af526b5,1250434595,1250434596,11,2067,6,attribute
578548,KDT,ds_attribute,1022201327,7,6487,8b3289c9-a740-4091-a56d-e4d55af526b5,1022201327,1022201328,7,8578,8,attribute
578548,KDT,ds_attribute,1387374556,9,542,8b3289c9-a740-4091-a56d-e4d55af526b5,1387374556,1387374557,9,2198,5,attribute
578548,KDT,ds_attribute,957847029,6,6677,8b3289c9-a740-4091-a56d-e4d55af526b5,957847029,957847030,6,8362,7,attribute
